variant,source_country,target_country,date_start,date_end,undercounting_multiplier_source,undercounting_multiplier_target,Ne,Ve,Cum_cases,PopFullyVax,pop,Rt
B.1.1.7,GBR,CZE,2020-09-09,2021-01-11,2.95,4.73,0,0,30942.0,0,10510750.0,1.62
B.1.1.7,GBR,CZE,2020-09-09,2021-01-11,2.95,6.78,0,0,30942.0,0,10510750.0,1.62
B.1.1.7,GBR,CZE,2020-09-09,2021-01-11,2.27,4.73,0,0,30942.0,0,10510750.0,2.63
B.1.1.7,GBR,CZE,2020-09-09,2021-01-11,2.27,6.78,0,0,30942.0,0,10510750.0,2.63
B.1.1.7,GBR,CZE,2020-09-09,2021-01-11,2.95,4.73,0,0,30942.0,0,10510750.0,2.63
B.1.1.7,GBR,CZE,2020-09-09,2021-01-11,2.95,6.78,0,0,30942.0,0,10510750.0,2.63
B.1.1.7,GBR,DEU,2020-09-09,2020-11-30,2.27,2.69,0,0,251105.0,0,83408554.0,1.05
B.1.1.7,GBR,DEU,2020-09-09,2020-11-30,2.27,3.48,0,0,251105.0,0,83408554.0,1.05
B.1.1.7,GBR,DEU,2020-09-09,2020-11-30,2.95,2.69,0,0,251105.0,0,83408554.0,1.05
B.1.1.7,GBR,DEU,2020-09-09,2020-11-30,2.95,3.48,0,0,251105.0,0,83408554.0,1.05
B.1.1.7,GBR,DEU,2020-09-09,2020-11-30,2.27,2.69,0,0,251105.0,0,83408554.0,1.62
B.1.1.7,GBR,DEU,2020-09-09,2020-11-30,2.27,3.48,0,0,251105.0,0,83408554.0,1.62
B.1.1.7,GBR,DEU,2020-09-09,2020-11-30,2.95,2.69,0,0,251105.0,0,83408554.0,1.62
B.1.1.7,GBR,DEU,2020-09-09,2020-11-30,2.95,3.48,0,0,251105.0,0,83408554.0,1.62
B.1.1.7,GBR,DEU,2020-09-09,2020-11-30,2.27,2.69,0,0,251105.0,0,83408554.0,2.63
B.1.1.7,GBR,DEU,2020-09-09,2020-11-30,2.27,3.48,0,0,251105.0,0,83408554.0,2.63
B.1.1.7,GBR,DEU,2020-09-09,2020-11-30,2.95,2.69,0,0,251105.0,0,83408554.0,2.63
B.1.1.7,GBR,DEU,2020-09-09,2020-11-30,2.95,3.48,0,0,251105.0,0,83408554.0,2.63
B.1.1.7,GBR,DNK,2020-09-09,2020-11-23,2.27,1.65,0,0,17992.0,0,5854240.0,1.05
B.1.1.7,GBR,DNK,2020-09-09,2020-11-23,2.27,2.13,0,0,17992.0,0,5854240.0,1.05
B.1.1.7,GBR,DNK,2020-09-09,2020-11-23,2.95,1.65,0,0,17992.0,0,5854240.0,1.05
B.1.1.7,GBR,DNK,2020-09-09,2020-11-23,2.95,2.13,0,0,17992.0,0,5854240.0,1.05
B.1.1.7,GBR,DNK,2020-09-09,2020-11-23,2.27,1.65,0,0,17992.0,0,5854240.0,1.62
B.1.1.7,GBR,DNK,2020-09-09,2020-11-23,2.27,2.13,0,0,17992.0,0,5854240.0,1.62
B.1.1.7,GBR,DNK,2020-09-09,2020-11-23,2.95,1.65,0,0,17992.0,0,5854240.0,1.62
B.1.1.7,GBR,DNK,2020-09-09,2020-11-23,2.95,2.13,0,0,17992.0,0,5854240.0,1.62
B.1.1.7,GBR,DNK,2020-09-09,2020-11-23,2.27,1.65,0,0,17992.0,0,5854240.0,2.63
B.1.1.7,GBR,DNK,2020-09-09,2020-11-23,2.27,2.13,0,0,17992.0,0,5854240.0,2.63
B.1.1.7,GBR,DNK,2020-09-09,2020-11-23,2.95,1.65,0,0,17992.0,0,5854240.0,2.63
B.1.1.7,GBR,DNK,2020-09-09,2020-11-23,2.95,2.13,0,0,17992.0,0,5854240.0,2.63
B.1.1.7,GBR,ECU,2020-09-09,2021-01-11,2.27,14.76,0,0,123215.0,0,17797737.0,1.05
B.1.1.7,GBR,ECU,2020-09-09,2021-01-11,2.27,42.84,0,0,123215.0,0,17797737.0,1.05
B.1.1.7,GBR,ECU,2020-09-09,2021-01-11,2.95,14.76,0,0,123215.0,0,17797737.0,1.05
B.1.1.7,GBR,ECU,2020-09-09,2021-01-11,2.95,42.84,0,0,123215.0,0,17797737.0,1.05
B.1.1.7,GBR,ECU,2020-09-09,2021-01-11,2.27,14.76,0,0,123215.0,0,17797737.0,1.62
B.1.1.7,GBR,ECU,2020-09-09,2021-01-11,2.27,42.84,0,0,123215.0,0,17797737.0,1.62
B.1.1.7,GBR,ECU,2020-09-09,2021-01-11,2.95,14.76,0,0,123215.0,0,17797737.0,1.62
B.1.1.7,GBR,ECU,2020-09-09,2021-01-11,2.95,42.84,0,0,123215.0,0,17797737.0,1.62
B.1.1.7,GBR,ECU,2020-09-09,2021-01-11,2.27,14.76,0,0,123215.0,0,17797737.0,2.63
B.1.1.7,GBR,ECU,2020-09-09,2021-01-11,2.27,42.84,0,0,123215.0,0,17797737.0,2.63
B.1.1.7,GBR,ECU,2020-09-09,2021-01-11,2.95,14.76,0,0,123215.0,0,17797737.0,2.63
B.1.1.7,GBR,ECU,2020-09-09,2021-01-11,2.95,42.84,0,0,123215.0,0,17797737.0,2.63
B.1.1.7,GBR,ESP,2020-09-09,2020-11-02,2.27,1.87,0,0,551508.0,0,47486935.0,1.05
B.1.1.7,GBR,ESP,2020-09-09,2020-11-02,2.27,2.47,0,0,551508.0,0,47486935.0,1.05
B.1.1.7,GBR,ESP,2020-09-09,2020-11-02,2.95,1.87,0,0,551508.0,0,47486935.0,1.05
B.1.1.7,GBR,ESP,2020-09-09,2020-11-02,2.95,2.47,0,0,551508.0,0,47486935.0,1.05
B.1.1.7,GBR,ESP,2020-09-09,2020-11-02,2.27,1.87,0,0,551508.0,0,47486935.0,1.62
B.1.1.7,GBR,ESP,2020-09-09,2020-11-02,2.27,2.47,0,0,551508.0,0,47486935.0,1.62
B.1.1.7,GBR,ESP,2020-09-09,2020-11-02,2.95,1.87,0,0,551508.0,0,47486935.0,1.62
B.1.1.7,GBR,ESP,2020-09-09,2020-11-02,2.95,2.47,0,0,551508.0,0,47486935.0,1.62
B.1.1.7,GBR,ESP,2020-09-09,2020-11-02,2.27,1.87,0,0,551508.0,0,47486935.0,2.63
B.1.1.7,GBR,ESP,2020-09-09,2020-11-02,2.27,2.47,0,0,551508.0,0,47486935.0,2.63
B.1.1.7,GBR,ESP,2020-09-09,2020-11-02,2.95,1.87,0,0,551508.0,0,47486935.0,2.63
B.1.1.7,GBR,ESP,2020-09-09,2020-11-02,2.95,2.47,0,0,551508.0,0,47486935.0,2.63
B.1.1.7,GBR,EST,2020-09-09,2020-12-28,2.27,2.19,0,0,2569.0,0,1328701.0,1.05
B.1.1.7,GBR,EST,2020-09-09,2020-12-28,2.27,3.06,0,0,2569.0,0,1328701.0,1.05
B.1.1.7,GBR,EST,2020-09-09,2020-12-28,2.95,2.19,0,0,2569.0,0,1328701.0,1.05
B.1.1.7,GBR,EST,2020-09-09,2020-12-28,2.95,3.06,0,0,2569.0,0,1328701.0,1.05
B.1.1.7,GBR,EST,2020-09-09,2020-12-28,2.27,2.19,0,0,2569.0,0,1328701.0,1.62
B.1.1.7,GBR,EST,2020-09-09,2020-12-28,2.27,3.06,0,0,2569.0,0,1328701.0,1.62
B.1.1.7,GBR,EST,2020-09-09,2020-12-28,2.95,2.19,0,0,2569.0,0,1328701.0,1.62
B.1.1.7,GBR,EST,2020-09-09,2020-12-28,2.95,3.06,0,0,2569.0,0,1328701.0,1.62
B.1.1.7,GBR,EST,2020-09-09,2020-12-28,2.27,2.19,0,0,2569.0,0,1328701.0,2.63
B.1.1.7,GBR,EST,2020-09-09,2020-12-28,2.27,3.06,0,0,2569.0,0,1328701.0,2.63
B.1.1.7,GBR,EST,2020-09-09,2020-12-28,2.95,2.19,0,0,2569.0,0,1328701.0,2.63
B.1.1.7,GBR,EST,2020-09-09,2020-12-28,2.95,3.06,0,0,2569.0,0,1328701.0,2.63
B.1.1.7,GBR,FIN,2020-09-09,2020-12-14,2.27,2.97,0,0,8349.0,0,5535992.0,1.05
B.1.1.7,GBR,FIN,2020-09-09,2020-12-14,2.27,4.92,0,0,8349.0,0,5535992.0,1.05
B.1.1.7,GBR,FIN,2020-09-09,2020-12-14,2.95,2.97,0,0,8349.0,0,5535992.0,1.05
B.1.1.7,GBR,FIN,2020-09-09,2020-12-14,2.95,4.92,0,0,8349.0,0,5535992.0,1.05
