ISO_A3,ihme.mean,ihme.lower,ihme.upper,confirmed.7mavg,under.mean,under.lower,under.upper
FRA,5266845.63,4362429.83,6200744.34,2519150.97,2.09072250640064,1.73170638915698,2.46144213421239
GAB,157842.18,99892.97,244810.6,4313.565,36.5920485723526,23.1578682597805,56.7536596759293
GBR,5339261.29,4675177.94,6077836.06,2063075.002,2.58801123799376,2.26612117129419,2.94600829058953
GEO,1591687.92,1426764.3,1783599.67,221999.861,7.16976989458565,6.42687024024758,8.03423777819392
GHA,4439832.74,3353472.66,6001200.59,38124.425,116.456385637292,87.9612652518693,157.41091413182
GIN,3304678.24,1572636.09,5380483.45,8398.285,393.494414633464,187.256813742329,640.664546392508
GMB,979732.28,652313.85,1379934.69,3940.882,248.60736251428,165.524836825868,350.158845151923
GNB,373776.79,62557.3999999999,739356.36,840.290000000001,444.818800652155,74.4473931618844,879.882373942328
GNQ,221761.78,119344.89,398619.97,3298.145,67.2383354885853,36.1854587957776,120.861869323514
GRC,425219.88,347653.61,526054.18,133083.139,3.19514465314798,2.61230395234365,3.95282365559472
GTM,3987895.35,2627495.9,5336204.32,119624.003,33.336916086983,21.9646210969884,44.608140391356
GUY,79617.27,33138.01,125043.2,6077.432,13.1004789522943,5.45263361235469,20.5750060222805
HKG,21561.69,10731.83,28298.63,7468.284,2.8871009725929,1.43698739897947,3.78917432706094
HND,2865755.8,2075244.59,3638960.29,102974.422,27.8297828173291,20.1530103271665,35.3384871633462
HRV,1120287.64,1019855.48,1253034.81,203728.857,5.4989148640833,5.00594513225979,6.15050233163582
HTI,1163308.49,543373.1,1698130.18,4378.427,265.690963900963,124.102354567063,387.840240342022
HUN,2023997.05,1699481.12,2452474.1,313276.997,6.46072667122763,5.42485128584146,7.82845253078061
IDN,40701445.63,27479053.27,53695644.02,668005.713,60.9297867337251,41.1359554794706,80.3820131699981
IND,280715438.2,259095234.3,305673083,9697917.141,28.9459513953997,26.7165856887579,31.5194570706015
IRL,241472.26,182795.17,290031.38,62123.424,3.88697603016859,2.94245162661994,4.66863159377693
IRN,16039764.48,13306042.4,18413827.42,986620.429,16.2572799108339,13.4864857942243,18.6635375457039
